Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Whole country,Budapest
,,,,,Országos,Budapest
,,,2020 Q1,2020. I.,12.45399887372227,10.265051542539453
,,,Q2,II.,10.17116371123241,1.429772929030122
,,,Q3,III.,10.384991005061806,1.066357700100113
,,,Q4,IV.,8.927813665140107,0.8632843184505248
,,,2021 Q1,2021. I.,13.648384317280772,3.535172727958269
,,,Q2,II.,14.112372062742182,9.92334868747875
,,,Q3,III.,17.369639287920705,9.742679382288728
,,,Q4,IV.,21.933987958744268,12.931452065331058
,,,2022 Q1,2022. I.,24.515732650379164,17.022752165572896
,,,Q2,II.,28.668596433870363,20.438645026089517
,,,Q3,III.,18.995718213276163,19.3093749880979
,,,Q4,IV.,12.301367131638074,16.07447928136736
,,,2023 Q1,2023. I.,7.844110174011192,11.235238302828549
,,,Q2,II.,2.8873165382938453,4.934530763142291
,,,Q3,III.,5.600747135708573,1.1617500924131718
,,,Q4,IV.,9.995891536612447,5.0746989900627
,,,2024 Q1,2024. I.,12.57178434837303,6.673400303452254
,,,Q2,II.,13.41384690311827,10.252820234911013
,,,Q3,III.,14.104618396726167,13.047110713694494
,,,Q4,IV.,14.7233479325443,14.142468126355709
,,,2025 Q1,2025. I.,16.268503880689437,21.13423162921677
,,,Q2,II.,17.85694548389283,23.095700053569644
,,,Q3,III.,23.25519135699676,27.387911315206676
,,,Q4,IV.,28.753179062592505,27.880895370677205
