Cím:,"Egyéves előretekintő lakásbérbeadási hozam, valamint a befektetési célú lakásvásárlások és a befektetéstől megváló eladók aránya",Unnamed: 4,Period,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Mar-18,2018. márc.,2018-03-31,10.527942150639035,2.0062201207751924,28.333333333333332,1
,,Sept,szept.,2018-09-30,10.281908248904086,2.6427592753843556,27,3.6666666666666665
,,Mar-19,2019. márc.,2019-03-31,9.917041197499756,3.1471589916202074,24.666666666666668,5.333333333333333
,,Sept,szept.,2019-09-30,9.554339588740362,3.432268810751194,24,3.3333333333333335
,,Mar-20,2020. márc.,2020-03-31,8.8822187837301,3.3011777155465034,25,7.333333333333333
,,Sept,szept.,2020-09-30,8.294065244765479,3.292592609400346,23,6.333333333333333
,,Mar-21,2021. márc.,2021-03-31,7.446419498814246,3.3036038096771536,21.666666666666668,4.666666666666667
,,Sept,szept.,2021-09-30,7.361913253637406,3.436497423029208,24,25.666666666666668
,,Mar-22,2022. márc.,2022-03-31,6.874185107117834,5.612619321116096,30.666666666666668,26.333333333333332
,,Sept,szept.,2022-09-30,7.113640050848369,9.007194724800527,31,24.333333333333332
,,Mar-23,2023. márc.,2023-03-31,7.1454942313859195,15.279644763296448,31.666666666666668,23.666666666666668
,,Sept,szept.,2023-09-30,7.43705796438839,12.698071631391619,23,23.666666666666668
,,Mar-24,2024. márc.,2024-03-31,7.348817692713505,7.192349470157024,24.666666666666668,24.666666666666668
,,Sept,szept.,2024-09-30,7.322781509223302,6.8083458382239535,24.666666666666668,23.333333333333332
,,Mar-25,2025. márc.,2025-03-31,6.917193223587359,6.689407256856309,27.333333333333332,26
,,Sept,szept.,2025-09-30,6.5653216351974315,6.617931384878014,24,28.333333333333332
,,Mar-18,2018. márc.,2018-03-31,6.319738503803987,2.0062201207751924,42.333333333333336,5
,,Sept-18,szept.,2018-09-30,6.098521530879015,2.6427592753843556,40.333333333333336,4.666666666666667
,,Mar-19,2019. márc.,2019-03-31,5.628318767516264,3.1471589916202074,44.333333333333336,7
,,Sept-19,szept.,2019-09-30,5.416432520584869,3.432268810751194,43.333333333333336,8.666666666666666
,,Mar-20,2020. márc.,2020-03-31,5.147861018840528,3.3011777155465034,40.333333333333336,9.333333333333334
,,Sept-20,szept.,2020-09-30,5.103076928462872,3.292592609400346,28.333333333333332,6
,,Mar-21,2021. márc.,2021-03-31,4.744793413089679,3.3036038096771536,32,4.333333333333333
,,Sept-21,szept.,2021-09-30,4.77426142816687,3.436497423029208,31,28.666666666666668
,,Mar-22,2022. márc.,2022-03-31,4.734078698779466,5.612619321116096,45.333333333333336,36.333333333333336
,,Sept-22,szept.,2022-09-30,4.795610022340037,9.007194724800527,42,32.333333333333336
,,Mar-23,2023. márc.,2023-03-31,4.9945975958544535,15.279644763296448,41.666666666666664,33.333333333333336
,,Sept-23,szept.,2023-09-30,5.34133353398315,12.698071631391619,35.666666666666664,30.666666666666668
,,Mar-24,2024. márc.,2024-03-31,5.245233271086635,7.192349470157024,33.666666666666664,34.666666666666664
,,Sept-24,szept.,2024-09-30,5.195148668637387,6.8083458382239535,31.333333333333332,29.666666666666668
,,Mar-25,2025. márc.,2025-03-31,4.6869874938417135,6.689407256856309,37.333333333333336,35.333333333333336
,,Sept-25,szept.,2025-09-30,4.377696252612862,6.617931384878014,33.333333333333336,37.333333333333336
